,name,orispl_code,unitid,state
779,West Valley Generation Project,55622,U4,UT
780,West Valley Generation Project,55622,U1,UT
781,Desert Power Plant,55858,UNT1,UT
782,Desert Power Plant,55858,UNT2,UT
783,West Valley Generation Project,55622,U2,UT
784,West Valley Generation Project,55622,U5,UT
785,Gadsby,3648,4,UT
786,Gadsby,3648,5,UT
787,Gadsby,3648,6,UT
788,Nebo Power Station,56177,U1,UT
789,Currant Creek Power Project,56102,CTG1B,UT
790,Currant Creek Power Project,56102,CTG1A,UT
791,Millcreek Power,56253,MC-1,UT
792,Lake Side Power Plant,56237,CT01,UT
793,Lake Side Power Plant,56237,CT02,UT
794,Millcreek Power,56253,MC-2,UT
795,Lake Side Power Plant,56237,CT03,UT
796,Lake Side Power Plant,56237,CT04,UT
797,"West Valley Power, LLC",55622,U1,UT
798,"West Valley Power, LLC",55622,U2,UT
799,"West Valley Power, LLC",55622,U3,UT
800,"West Valley Power, LLC",55622,U4,UT
801,"West Valley Power, LLC",55622,U5,UT
802,Sunnyside Cogeneration Associates,50951,1,UT
803,West Valley Power Plant,55622,U1,UT
804,West Valley Power Plant,55622,U2,UT
805,West Valley Power Plant,55622,U3,UT
806,West Valley Power Plant,55622,U4,UT
807,West Valley Power Plant,55622,U5,UT
808,Centralia,3845,BW21,WA
809,Centralia,3845,BW22,WA
810,River Road,7605,1,WA
811,Fredonia Generating Station,607,CT3,WA
812,Fredonia Generating Station,607,CT4,WA
813,Finley Combustion Turbine,7945,1,WA
814,Frederickson Power LP,55818,F1CT,WA
815,Centralia,3845,30,WA
816,Centralia,3845,40,WA
817,Centralia,3845,50,WA
818,Centralia,3845,60,WA
819,Chehalis Generation Facility,55662,CT1,WA
820,Chehalis Generation Facility,55662,CT2,WA
821,Goldendale Generating Station,55482,CT-1,WA
822,Encogen Generating Station,7870,CT1,WA
823,Encogen Generating Station,7870,CT3,WA
824,Encogen Generating Station,7870,CT2,WA
825,Mint Farm Generating Station,55700,CTG1,WA
826,Grays Harbor Energy Center,7999,1,WA
827,Grays Harbor Energy Center,7999,2,WA
828,Sumas Generating Station,54476,CT-1,WA
829,Ferndale Generating Station,54537,CT-1A,WA
830,Ferndale Generating Station,54537,CT-1B,WA
831,Dave Johnston,4158,BW41,WY
832,Dave Johnston,4158,BW42,WY
833,Dave Johnston,4158,BW43,WY
834,Dave Johnston,4158,BW44,WY
835,Naughton,4162,1,WY
836,Naughton,4162,2,WY
837,Naughton,4162,3,WY
838,Wyodak,6101,BW91,WY
839,Laramie River,6204,1,WY
840,Laramie River,6204,2,WY
841,Laramie River,6204,3,WY
842,Neil Simpson II,7504,001,WY
843,Neil Simpson II,7504,CT1,WY
844,Jim Bridger,8066,BW71,WY
845,Jim Bridger,8066,BW72,WY
846,Jim Bridger,8066,BW73,WY
847,Jim Bridger,8066,BW74,WY
848,Neil Simpson II (CT2),55477,CT2,WY
849,Wygen I,55479,001,WY
850,Wygen II,56319,001,WY
851,Wygen III,56596,001,WY
852,Dry Fork Station,56609,01,WY
853,Cheyenne Prairie Generating Station,57703,CT01,WY
854,Cheyenne Prairie Generating Station,57703,CT02,WY
855,Cheyenne Prairie Generating Station,57703,CT03,WY
